latitude,longitude,floorSize,price,url
39.03778,-94.59726,3872,1225000,https://www.zillow.com/homedetails/5010-Sunset-Dr-Kansas-City-MO-64112/2345791_zpid/
39.065487,-94.53888,1746,174000,https://www.zillow.com/homedetails/3305-Cleveland-Ave-Kansas-City-MO-64128/2334087_zpid/
39.07107,-94.54095,1964,147000,https://www.zillow.com/homedetails/3005-Askew-Ave-Kansas-City-MO-64128/2332677_zpid/
39.052097,-94.5953,852,125000,https://www.zillow.com/homedetails/4215-Clark-Ave-APT-3-Kansas-City-MO-64111/83918957_zpid/
39.077343,-94.5655,2278,305000,https://www.zillow.com/homedetails/2700-Paseo-Blvd-Kansas-City-MO-64109/2336791_zpid/
39.104847,-94.54217,1524,205000,https://www.zillow.com/homedetails/3237-E-6th-St-Kansas-City-MO-64124/2325386_zpid/
39.196888,-94.61919,2176,330000,https://www.zillow.com/homedetails/5608-N-Colrain-Ave-Kansas-City-MO-64151/2494333_zpid/
38.952847,-94.54606,1640,175000,https://www.zillow.com/homedetails/3710-E-96th-St-Kansas-City-MO-64137/2433706_zpid/
38.958073,-94.49214,1528,165000,https://www.zillow.com/homedetails/8315-E-91st-St-Kansas-City-MO-64138/2439591_zpid/
39.039593,-94.439156,2106,195300,https://www.zillow.com/homedetails/4506-Westridge-Rd-Kansas-City-MO-64133/2372132_zpid/
39.28097,-94.65052,3968,699900,https://www.zillow.com/homedetails/6104-NW-103rd-St-Kansas-City-MO-64154/126232259_zpid/
38.95825,-94.484566,1476,175000,https://www.zillow.com/homedetails/9029-Lewis-Ave-Kansas-City-MO-64138/2439527_zpid/
39.082684,-94.53617,1416,164000,https://www.zillow.com/homedetails/2334-Myrtle-Ave-Kansas-City-MO-64127/2327380_zpid/
39.018192,-94.56426,1746,260000,https://www.zillow.com/homedetails/1804-E-60th-St-Kansas-City-MO-64130/2412067_zpid/
39.066505,-94.55677,1927,230000,https://www.zillow.com/homedetails/3242-Park-Ave-Kansas-City-MO-64109/2337408_zpid/
39.052135,-94.60663,2396,515000,https://www.zillow.com/homedetails/4202-Bell-St-Kansas-City-MO-64111/2343666_zpid/
38.91675,-94.50695,912,124950,https://www.zillow.com/homedetails/11401-Corrington-Ave-Kansas-City-MO-64134/2465654_zpid/
39.042164,-94.578026,4210,550000,https://www.zillow.com/homedetails/612-Emanuel-Cleaver-Ii-Blvd-Kansas-City-MO-64110/2053585486_zpid/
39.116425,-94.52239,1070,135000,https://www.zillow.com/homedetails/5012-Norledge-Ave-Kansas-City-MO-64123/2283183_zpid/
38.94775,-94.52362,1372,217000,https://www.zillow.com/homedetails/9724-Lawndale-Ave-Kansas-City-MO-64137/2433876_zpid/
39.022972,-94.395325,6000,2500000,https://www.zillow.com/homedetails/5401-Phelps-Rd-Kansas-City-MO-64136/2374127_zpid/
39.031376,-94.56506,1595,150000,https://www.zillow.com/homedetails/5227-Highland-Ave-Kansas-City-MO-64110/2349119_zpid/
38.887928,-94.60253,2952,449000,https://www.zillow.com/homedetails/13204-Summit-St-Kansas-City-MO-64145/61636562_zpid/
39.304054,-94.56293,1950,1500000,https://www.zillow.com/homedetails/1300-NE-Cookingham-Dr-Kansas-City-MO-64155/66400516_zpid/
38.93896,-94.49691,1407,169900,https://www.zillow.com/homedetails/8001-E-102nd-St-Kansas-City-MO-64134/2442032_zpid/
39.06288,-94.5942,2005,495000,https://www.zillow.com/homedetails/3608-Jefferson-St-Kansas-City-MO-64111/2342711_zpid/
